TimeUS,RollRate,Roll,DesRoll
14.575,1.78531,0.674885,3.00708
14.6,1.94499,0.719518,3.09278
14.625,2.09905,0.768143,3.17774
14.65,2.24729,0.820619,3.26188
14.675,2.38956,0.876801,3.34516
14.7,2.5257,0.93654,3.42749
14.725,2.6556,0.999683,3.50883
14.75,2.77915,1.06607,3.5891
14.775,2.89625,1.13555,3.66825
14.8,3.00685,1.20796,3.74623
14.825,3.11087,1.28313,3.82298
14.85,3.20829,1.3609,3.89845
14.875,3.29908,1.44111,3.97259
14.9,3.38323,1.52358,4.04535
14.925,3.46075,1.60817,4.11669
14.95,3.53166,1.69468,4.18656
14.975,3.59598,1.78298,4.25492
15,3.65377,1.87288,4.32174
15.025,3.70508,1.96422,4.38698
15.05,3.74998,2.05685,4.4506
15.075,3.78854,2.1506,4.51257
15.1,3.82085,2.24531,4.57286
15.125,3.84702,2.34083,4.63145
15.15,3.86713,2.43701,4.6883
15.175,3.88132,2.53368,4.74341
15.2,3.88969,2.63072,4.79673
15.225,3.89238,2.72796,4.84827
15.25,3.88952,2.82527,4.89799
15.275,3.88125,2.92251,4.94589
15.3,3.86772,3.01954,4.99196
15.325,3.84907,3.11623,5.03617
15.35,3.82547,3.21246,5.07853
15.375,3.79706,3.3081,5.11903
15.4,3.76402,3.40302,5.15766
15.425,3.7265,3.49712,5.19443
15.45,3.68468,3.59028,5.22932
15.475,3.63872,3.6824,5.26235
15.5,3.5888,3.77337,5.29351
15.525,3.53508,3.86309,5.32281
15.55,3.47774,3.95147,5.35024
15.575,3.41696,4.03841,5.37584
15.6,3.35291,4.12383,5.39959
15.625,3.28575,4.20766,5.42152
15.65,3.21568,4.2898,5.44162
15.675,3.14285,4.37019,5.45993
15.7,3.06744,4.44876,5.47644
15.725,2.98962,4.52545,5.49118
15.75,2.90956,4.60019,5.50416
15.775,2.82742,4.67293,5.5154
15.8,2.74337,4.74361,5.52492
15.825,2.65757,4.8122,5.53275
15.85,2.57018,4.87864,5.53889
15.875,2.48136,4.94289,5.54338
15.9,2.39125,5.00493,5.54623
15.925,2.30002,5.06471,5.54748
15.95,2.20781,5.12221,5.54714
15.975,2.11476,5.1774,5.54524
16,2.02102,5.23027,5.54181
16.025,1.92672,5.2808,5.53686
16.05,1.83199,5.32897,5.53044
16.075,1.73696,5.37477,5.52255
16.1,1.64176,5.41819,5.51324
16.125,1.54651,5.45923,5.50254
16.15,1.45134,5.4979,5.49047
16.175,1.35634,5.53418,5.47705
16.2,1.26163,5.56809,5.46234
16.225,1.16732,5.59963,5.44634
16.25,1.07351,5.62881,5.42909
16.275,0.9803,5.65565,5.41063
16.3,0.887772,5.68016,5.39097
16.325,0.796021,5.70235,5.37015
16.35,0.705131,5.72225,5.34821
16.375,0.615183,5.73988,5.32517
16.4,0.526253,5.75526,5.30106
16.425,0.438414,5.76842,5.27592
16.45,0.351733,5.77938,5.24977
16.475,0.266275,5.78817,5.22265
16.5,0.1821,5.79483,5.19458
16.525,0.0992651,5.79938,5.1656
16.55,0.0178229,5.80186,5.13574
16.575,-0.0621789,5.80231,5.10502
16.6,-0.140694,5.80075,5.07348
16.625,-0.21768,5.79724,5.04115
16.65,-0.2931,5.79179,5.00805
16.675,-0.366919,5.78447,4.97422
16.7,-0.638919,5.77529,3.17413
16.725,-0.899274,5.75932,3.11445
16.75,-1.14802,5.73684,3.0542
16.775,-1.38522,5.70814,2.99349
16.8,-1.61094,5.67351,2.9324
16.825,-1.82528,5.63323,2.87105
16.85,-2.02834,5.5876,2.80951
16.875,-2.22025,5.53689,2.74788
16.9,-2.40115,5.48139,2.68622
16.925,-2.5712,5.42136,2.62463
16.95,-2.73055,5.35708,2.56318
16.975,-2.87938,5.28881,2.50195
17,-3.01789,5.21683,2.44099
