RollRate,Roll,DesRoll
0.804711,10.2813,9.06468
0.608982,10.3014,9.00568
0.416636,10.3166,8.94531
0.227864,10.3271,8.88363
0.0428481,10.3327,8.82076
-0.138245,10.3338,8.75677
-0.315256,10.3304,8.69178
-0.488038,10.3225,8.62586
-0.656453,10.3103,8.55911
-0.820376,10.2939,8.49162
-0.979692,10.2734,8.42346
-1.1343,10.2489,8.35473
-1.28409,10.2205,8.2855
-1.429,10.1884,8.21587
-1.56895,10.1527,8.14591
-1.70386,10.1135,8.07568
-1.8337,10.0709,8.00527
-1.9584,10.025,7.93474
-2.07795,9.97606,7.86418
-2.19231,9.92411,7.79364
-2.30146,9.8693,7.72319
-2.40539,9.81177,7.65289
-2.50412,9.75163,7.5828
-2.59764,9.68903,7.51297
-2.68597,9.62409,7.44348
-2.76913,9.55694,7.37436
-2.84716,9.48771,7.30568
-2.9201,9.41653,7.23747
-2.98798,9.34353,7.16978
-3.05087,9.26883,7.10265
-3.10881,9.19256,7.03614
-3.16188,9.11484,6.97027
-3.21014,9.03579,6.90508
-3.25368,8.95554,6.84061
-3.29256,8.8742,6.77688
-3.32688,8.79188,6.71393
-3.35673,8.70871,6.65179
-3.3822,8.62479,6.59047
-3.40339,8.54024,6.53001
-3.4204,8.45515,6.4704
-3.43334,8.36964,6.41169
-3.44232,8.28381,6.35389
-3.44745,8.19775,6.29701
-3.44885,8.11156,6.24106
-3.44662,8.02534,6.18605
-3.4409,7.93918,6.13199
-3.43181,7.85315,6.07889
-3.41946,7.76736,6.02674
-3.40398,7.68187,5.97558
-3.38549,7.59677,5.92536
-3.36413,7.51214,5.87613
-3.34001,7.42803,5.82785
-3.31327,7.34453,5.78054
-3.28403,7.2617,5.73419
-3.25243,7.1796,5.68877
-3.21858,7.09829,5.64432
-3.18261,7.01782,5.6008
-3.14466,6.93826,5.5582
-3.10484,6.85964,5.51651
-3.06328,6.78202,5.47574
-3.0201,6.70544,5.43585
-2.97543,6.62994,5.39685
-2.92938,6.55555,5.3587
-2.88207,6.48232,5.32141
-2.83362,6.41027,5.28495
-2.78414,6.33942,5.24931
-2.73374,6.26982,5.21444
-2.68254,6.20148,5.18038
-2.63065,6.13441,5.14707
-2.57816,6.06865,5.11451
-2.52519,6.00419,5.08265
-2.47182,5.94106,5.0515
-2.41817,5.87927,5.02104
-2.36432,5.81881,4.99124
-2.31037,5.75971,4.96208
-2.2564,5.70195,4.93354
-2.2025,5.64554,4.9056
-2.14875,5.59048,4.87823
-2.09524,5.53676,4.85143
-2.04203,5.48438,4.82514
-1.98921,5.43332,4.79938
-1.93685,5.38359,4.7741
-1.88501,5.33517,4.7493
-1.83375,5.28805,4.72496
-1.78314,5.2422,4.70102
-1.73323,5.19763,4.67751
